ID,Huda City Centre,IFFCO Chowk,MG Road,Sikanderpur,Gurudronacharya,Arjan Garh,Ghitorni,Sultanpur,Chhattarpur,Qutab Minar
2300,3:22pm,3:24pm,3:27pm,3:29pm,3:31pm,3:35pm,3:38pm,3:41pm,3:44pm,3:46pm
2301,3:25pm,3:27pm,3:30pm,3:32pm,3:34pm,3:38pm,3:41pm,3:44pm,3:47pm,3:49pm
2302,3:27pm,3:30pm,3:32pm,3:35pm,3:37pm,3:41pm,3:44pm,3:47pm,3:49pm,3:52pm
2303,3:30pm,3:33pm,3:35pm,3:38pm,3:40pm,3:43pm,3:47pm,3:49pm,3:52pm,3:55pm
2304,3:33pm,3:36pm,3:38pm,3:41pm,3:43pm,3:46pm,3:50pm,3:52pm,3:55pm,3:58pm
2305,3:36pm,3:38pm,3:41pm,3:44pm,3:46pm,3:49pm,3:53pm,3:55pm,3:58pm,4:01pm
2306,3:39pm,3:41pm,3:44pm,3:46pm,3:48pm,3:52pm,3:56pm,3:58pm,4:01pm,4:04pm
2307,3:42pm,3:44pm,3:47pm,3:49pm,3:51pm,3:55pm,3:59pm,4:01pm,4:04pm,4:06pm
2308,3:45pm,3:47pm,3:50pm,3:52pm,3:54pm,3:58pm,4:01pm,4:04pm,4:07pm,4:09pm
2309,3:48pm,3:50pm,3:53pm,3:55pm,3:57pm,4:01pm,4:04pm,4:07pm,4:10pm,4:12pm
2310,3:50pm,3:53pm,3:55pm,3:58pm,4:00pm,4:04pm,4:07pm,4:10pm,4:12pm,4:15pm
2311,3:53pm,3:56pm,3:58pm,4:01pm,4:03pm,4:06pm,4:10pm,4:12pm,4:15pm,4:18pm
2312,3:56pm,3:58pm,4:01pm,4:04pm,4:06pm,4:09pm,4:13pm,4:15pm,4:18pm,4:21pm
2313,3:59pm,4:01pm,4:04pm,4:06pm,4:09pm,4:12pm,4:16pm,4:18pm,4:21pm,4:24pm
2314,4:02pm,4:04pm,4:07pm,4:09pm,4:11pm,4:15pm,4:19pm,4:21pm,4:24pm,4:27pm
2315,4:05pm,4:07pm,4:10pm,4:12pm,4:14pm,4:18pm,4:21pm,4:24pm,4:27pm,4:29pm
2316,4:08pm,4:10pm,4:13pm,4:15pm,4:17pm,4:21pm,4:24pm,4:27pm,4:30pm,4:32pm
2317,4:10pm,4:13pm,4:15pm,4:18pm,4:20pm,4:24pm,4:27pm,4:30pm,4:32pm,4:35pm
2318,4:13pm,4:16pm,4:18pm,4:21pm,4:23pm,4:26pm,4:30pm,4:32pm,4:35pm,4:38pm
2319,4:16pm,4:19pm,4:21pm,4:24pm,4:26pm,4:29pm,4:33pm,4:35pm,4:38pm,4:41pm
2320,4:19pm,4:21pm,4:24pm,4:27pm,4:29pm,4:32pm,4:36pm,4:38pm,4:41pm,4:44pm
2321,4:22pm,4:24pm,4:27pm,4:29pm,4:31pm,4:35pm,4:39pm,4:41pm,4:44pm,4:47pm
2322,4:25pm,4:27pm,4:30pm,4:32pm,4:34pm,4:38pm,4:42pm,4:44pm,4:47pm,4:49pm
2323,4:28pm,4:30pm,4:33pm,4:35pm,4:37pm,4:41pm,4:44pm,4:47pm,4:50pm,4:52pm
2324,4:31pm,4:33pm,4:36pm,4:38pm,4:40pm,4:44pm,4:47pm,4:50pm,4:53pm,4:55pm
2325,4:33pm,4:36pm,4:38pm,4:41pm,4:43pm,4:47pm,4:50pm,4:53pm,4:55pm,4:58pm
2326,4:36pm,4:39pm,4:41pm,4:44pm,4:46pm,4:49pm,4:53pm,4:55pm,4:58pm,5:01pm
2327,4:39pm,4:41pm,4:44pm,4:47pm,4:49pm,4:52pm,4:56pm,4:58pm,5:01pm,5:04pm
2328,4:42pm,4:44pm,4:47pm,4:49pm,4:52pm,4:55pm,4:59pm,5:01pm,5:04pm,5:07pm
2329,4:45pm,4:47pm,4:50pm,4:52pm,4:54pm,4:58pm,5:02pm,5:04pm,5:07pm,5:10pm
